price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_living,no_of_kitchen,facing,road_size
"Rs NPR 25,000,000/-",location: Bhaisepati,3 Anna 2 Paisa,Bhaisepati house  for Sale.,4,3,1,1,WEST,13 Feets
"Rs NPR 21,500,000/-",location: Bhaisepati,2 aana 2 paisa,Bhaisepati house  for Sale.,3,3,1,1,NORTH-WEST,13 Feets
"Rs NPR 33,000,000/-","location: Kathmandu, Buddhanilkantha",4 anna 1 paisa,Budhanilkantha house  for Sale.,5,3,2,2,WEST,13 Feets
"Rs NPR 25,000,000/-","location: Kathmandu, Buddhanilkantha",3 Anna,Budhanilkantha house  for Sale.,5,3,2,2,SOUTH-EAST,15 Feets
"Rs NPR 70,000,000/-","location: Lalitpur,Bhaisepati",7 Anna 2 Paisa,"Brand New Bungalow for Sale in Bhaisepati, Near to Medicity Hospital. ",5,4,3,1,SOUTH-WEST,13 Feets
"Rs Npr 29,500,000/-","location: Lalitpur,Bhaisepati",3 Anna 3 Paisa,"Brand New Semi-Bungalow for Sale in Bhaisepati, Near to Medicity Hospital. ",6,4,2,2,SOUTH-WEST,18 Feets
"Rs NPR42,500,000/-","location: KATHMANDU, SANOBHARYANG",5 Anna 1 Paisa,"🏡 Beautiful 2.5-Storey House for Sale in Sanobharyang, Namgel! 🏡",4,2,1,1,SOUTH-WEST,20 Feet
Rs 7 Crore,"location: Kathmandu, Bafal",5.5 Anna,"🏢 Prime 5.5-Storey Commercial House for Sale in Bafal, Kathmandu! 🏢",21,5,1,4,EAST,20Feets
"Rs NPR 31,000,000/-",location: Bhaisepati,3.5 Anna," 🏡 Elegant 2.5-Storey Residential House for Sale in Bhaisepati, GOkul Awas 🏡",6,2,1,1,EAST-NORTH,13 Feets
"Rs NPR 25,000,000/-",location: Bhaisepati,3 Anna 2 Paisa,Bhaisepati house  for Sale.,4,3,1,1,WEST,13 Feets
"Rs NPR 21,500,000/-",location: Bhaisepati,2 aana 2 paisa,Bhaisepati house  for Sale.,3,3,1,1,NORTH-WEST,13 Feets
"Rs NPR 33,000,000/-","location: Kathmandu, Buddhanilkantha",4 anna 1 paisa,Budhanilkantha house  for Sale.,5,3,2,2,WEST,13 Feets
"Rs NPR 25,000,000/-","location: Kathmandu, Buddhanilkantha",3 Anna,Budhanilkantha house  for Sale.,5,3,2,2,SOUTH-EAST,15 Feets
"Rs NPR 70,000,000/-","location: Lalitpur,Bhaisepati",7 Anna 2 Paisa,"Brand New Bungalow for Sale in Bhaisepati, Near to Medicity Hospital. ",5,4,3,1,SOUTH-WEST,13 Feets
"Rs Npr 29,500,000/-","location: Lalitpur,Bhaisepati",3 Anna 3 Paisa,"Brand New Semi-Bungalow for Sale in Bhaisepati, Near to Medicity Hospital. ",6,4,2,2,SOUTH-WEST,18 Feets
"Rs NPR42,500,000/-","location: KATHMANDU, SANOBHARYANG",5 Anna 1 Paisa,"🏡 Beautiful 2.5-Storey House for Sale in Sanobharyang, Namgel! 🏡",4,2,1,1,SOUTH-WEST,20 Feet
Rs 7 Crore,"location: Kathmandu, Bafal",5.5 Anna,"🏢 Prime 5.5-Storey Commercial House for Sale in Bafal, Kathmandu! 🏢",21,5,1,4,EAST,20Feets
"Rs NPR 31,000,000/-",location: Bhaisepati,3.5 Anna," 🏡 Elegant 2.5-Storey Residential House for Sale in Bhaisepati, GOkul Awas 🏡",6,2,1,1,EAST-NORTH,13 Feets
"Rs NPR 39,500,000/-",location: Bhaisepati,4 anna 2 daam,Bhaisepati house  for Sale.,5,3,2,2,NORTH-EAST,16 feets
"Rs NPR 30,500,000/-","location: Kathmandu, Budhanilkantha",3.5 Anna,🏠 Brand New 2.5 Storey Home  🏡,5,2,2,2,NORTH,12 Feets
"Rs NPR 35,500,000/-","location: Kathmandu, Budhanilkantha",3.85 Anna,✨ Beautiful 2.5 Storey White House Just 150 meters from Man Bdr Marg!,5,2,2,2,SOUTH-WEST,20 Feet
Rs 1.65 Crore,"location: Kathmandu, Ramkot",4 Anna 1 Paisa, ,2,1,1,2,WEST-NORTH,20Feets
"Rs NPR 45,000,000/-","location: Kathmandu, Buddhanilkantha",5 Anna,✨ Beautiful 2.5 Storey White Bungalow Just 300 meters from Budhanilkantha Main Road!,5,4,3,1,SOUTH-WEST,13 Feets
Rs 390 (negotiable),"location: Shital height, Imadol, Lalitpur",5 Anna,"Fully furnished, 5 aana, 3 and a half talla, ground floor rented, hot water, 360 views of ktm, modern kitchen, 3 car parking space",5,4,3,1,SOUTH-WEST,13 Feets
Rs 390 (negotiable),"location: Shital height, Imadol, Lalitpur",5 Anna,"Fully furnished, 5 aana, 3 and a half talla, ground floor rented, hot water, 360 views of ktm, modern kitchen, 3 car parking space",5,4,3,1,SOUTH-WEST,13 Feets
"Rs NPR 63,500,000/-","location: Kathmandu, Buddhanilkantha",8.5 Anna,"✨ Dream Home Awaits in Pasikot, Budhanilkantha! 🏡",6,5,3,1,EAST-NORTH,13 Feets
Rs NPR 55000000/-,"location: Kathmandu, Budhanilkantha",5.5 Anna,✨Perfect  life on Hattigauda Bungalow  2.5 Storey House!,5,5,2,1,SOUTH-WEST,20 feets
"Rs NPR 79,000,000/-","location: Kathmandu, Hattigauda",7 Anna 3 Paisa,✨Perfect  life on Hattigauda Bungalow  2.5 Storey House!,5,6,3,1,SOUTH-WEST,13 Feets
Rs 16000000,location: Kapan jordhara ward 3,7 Anna 3 Paisa,कपन जोर्धरा नजिक दुइ आना जग्गा मा बनेको।  साढे दुइ तल्ला घर।  दुइवोटा किचेन अनि दुइवोटा टोइलेट्स/ बाथरूम गरेर टोटल ७ कोठा भएको घर सस्तो मुल्लेय मा बिक्रि मा छ,5,6,3,1,SOUTH-WEST,13 Feets
"Rs NPR 39,500,000/-","location: Kathmandu, Budhanilkantha",4 Anna 1 Paisa,✨Live a life on Ganesh Chowk  2.5 Storey House Just Steps n Budhanilkantha !,5,5,2,1,SOUTH-WEST,18 Feets
"Rs NPR 30,000,000/-","location: KATHMANDU, SANOBHARYANG",3 Anna,"Ō£©Spacious 3.5-Storey Residential Building for Sale in Sanobharyang, Ring Road !",4,3,3,2,NORTH/EAST,20 Feets
"Rs NPR 33,000,000/-","location: KATHMANDU, SANOBHARYANG",3 aana 3 paisa,"✨2.5-Storey Residential Building for Sale in Sanobharyang, Ring Road",5,3,3,3,NORTH-EAST,20 Feets
"Rs NPR 17,500,000/-","location: Kathmandu, Ramkot",3 Anna,"✨ Charming One-Storey Home for Sale in Taukhel, Ramkot",2,2,1,1,NORTH-EAST,10 Feets
"Rs NPR 37,500,000/-","location: Kathmandu,Budhanilkantha",4 Anna,✨Timeless Elegance in Budhanilkantha: Luxury Semi-Bungalow with Sukri Royal Design,6,4,2,2,WEST-NORTH,18 feets
"Rs NPR 32,500,000/-","location: Kathmandu, Buddhanilkantha",3.5 Anna,✨Budhanilkantha Brand New Luxury Semi-Bungalow – Traditional Sukri Royal Design,6,4,2,2,SOUTH-EAST,20 feets
"Rs NPR 80,000,000/-","location: Kathmandu, Buddhanilkantha",8 Anna,✨ Beautiful 2.5 Storey White House Just Steps from Budhanilkantha Main Road!,5,5,2,1,SOUTH-WEST,13 Feets
Rs NPR 33000000,"location: Kathmandu, Bafal",4 Anna 2 Daam,Kathmandu Bafal house  for Sale.,5,3,2,2,SOUTH-EAST,13 feets
"Rs NPR 80,000,000/-","location: Kathmandu, Basundhara",8 Anna,"Brand New Commercial Building for Sale in Budhanilkantha,Basundhara.",9,7,2,2,SOUTH-EAST,20 feets
"Rs NPR 32,000,000/-","location: Kathmandu, Buddhanilkantha",3 Anna 2 Dam,"Brand New Resident for Sale in Budhanilkantha, Bhangal ",6,4,2,2,SOUTH-WEST,13 Feets
"Rs NPR 35,000,000/-","location: Kathmandu, Budhanilkantha",3.5 Anna,"Brand New Semi-Bungalow for Sale in Budhanilkantha, Bhangal ",6,5,2,2,SOUTH,13 Feets
"Rs NPR 57,000,000/-","location: Kathmandu, Buddhanilkantha",6 Anna,"Brand New Semi-Bungalow for Sale in Budhanilkantha, Bhangal ",6,5,2,2,EAST-NORTH,13 Feets
"Rs NPR 38,000,000/-","location: Kathmandu, Syuchatar",4 Anna,"Newly Built 2.5 Storey House for Sale in Kalanki, Syuchatar – Perfect Family Home with Modern Amenities",6,3,2,2,SOUTH-WEST,13 Feets
"Rs NPR 38,500,000/-","location: Kathmandu, Syuchatar",5.5 Anna,"Brand New 3.5-Storey Residential House for Sale in Kalanki, Syuchatar – Spacious, Well-Built, and Ready to Move In",6,4,2,2,South,18 Feets
Rs 28500000,"location: Kathmandu, Sitapaila",5.5 Anna,"🏠 Brand New 2.5 Storey Home for Rent in Sitapaila, Ramkot (Near Padma Colony) 🏡",6,4,2,2,South,18 Feets
Rs NPR 38000000,location: Kathmandu sSitapaila,5 Anna 3 Paisa,"Modern Residential Home with Solar, Modular Kitchen, and Parking for 2 Cars",8,2,2,2,SOUTH-WEST,16 feets
"Rs NPR 80,000,000/-","location: Kathmandu, Khadka Gau",12 Anna,"Prime Location, 14-Feet Concrete Road, 3-Car Parking, Near LRI School",6,6,2,1,EAST-NORTH,14 Feets
"Rs NPR 65,000,000/-","location: Kathmandu,Raniban",6 Anna +,"This exceptional home blends comfort, convenience, and class, perfect for your family.",7,5,2,2,NORTH-WEST,20 feets
"Rs NPR 35,000,000/-","location: Kathmandu, Kuleshwor, Kalimati",3.3 Anna,"Kathmandu, Central Kuleshwor | Bungalow-Style House for Sale

An elegant bungalow-style house is now available for sale just 500 meters away from Kalimati, in the heart of Central Kuleshwor. Perfect for families seeking a comfortable and secure environment, this property offers everything you need for modern living.

🔖Property ID: #GSR1126
🌐Property Listed link:https://www.gharsansarnepal.com/house-in-kathmandu/1125
🧨𝐏𝐫𝐨𝐩𝐞𝐫𝐭𝐲 𝐃𝐞𝐬𝐜𝐫𝐢𝐩𝐭𝐢𝐨𝐧:
✅Land Area: 3.75 Anna
✅Bedroom: 4
✅Bathroom: 3
✅Living: 1
✅Kitchen: 1
✅Floor: 2.5 Storey
✅Road: 13 Feets
✅Parking: Yes
✅Facing: West-North

📳For More Details: Whatsapp/Viber
🇳🇵+01-5314574 984-1057532
Property Highlights
💰 **Price:** NPR 3.3 Crore (Negotiable)
Secluded Colony Space: Gated community for added privacy
📍 Located near hospitals, banks, Kalimati vegetable market, police station, and public transportation, this property ensures easy access to daily essentials. Markets, shops, and services are just around the corner, making it ideal for a medium-sized family looking for convenience.

💰 Special Festival Discount Available!
Take advantage of this limited-time offer by booking your visit today!

📅 Note: Appointments must be scheduled at least one day in advance. We do not entertain spot bookings.
Call us now and secure your dream home in this prime location!

 ",4,3,1,1,NORTH-WEST,13 Feets
Rs NPR 2.4 Crore,"location: Kathmandu, Manamaiju",3 Anna,"Kathmandu, Manamaiju | Semi-Commercial House for Sale",4,3,1,2,NORTH-WEST,26 Feets
"Rs NPR 26,000,000/-","location: Kathmandu,Adeshwor",3.2 Anna,"**For Sale: 3.5 Aana Property in Adeshwor, Nagarjun Municipality, Ward No. 3**",5,3,3,3,South,13 Feets
"Rs NPR 65,000,000/-","location: Kathmandu,Syuchatar",9 Anna, ,6,5,2,1,SOUTH-WEST,13 Feets
"Rs NPR 28,000,000/-","location: Kathmandu, Tokha, Sudarsan Height",3.2 Anna,"Discover your dream home in Sudarshan Height, conveniently located near Parijat Party Palace. This brand-new 2.5-storey residential property boasts modern features and quality craftsmanship. With a pillar size of 12x12, the house is built on 3.2.2 aana of land, offering a spacious layout measuring 30 feet. ",5,4,2,2,SOUTH-WEST,14 Feets
"Rs NPR 40,000,000/-","location: Kathmandu, Bafal",3 Anna,"**2.5 Storey House for Sale in Bafal, Kathmandu-13: Perfect Home for Dashain Festival**",4,4,1,1,NORTH,12 Feets
Rs Npr 1 Lakh/ Month,"location: Kathmandu, Mid-Baneshwor",4 Anna,"Residential Property for Rent in Mid Baneshwor, Near Milan Chowk",4,4,1,2,SOUTH-EAST,20 feets
Rs 42500000,"location: Sital Height, Lalitpur",4 Anna,"Óż▓Óż▓Óż┐ÓżżÓż¬ÓźüÓż░ ÓżćÓż«ÓżŠÓżĪÓźŗÓż▓ Óż¤ÓźćÓż«ÓźŹÓż¬Óźŗ Óż¬ÓżŠÓż░ÓźŹÓżĢÓż”ÓźćÓż¢Óż┐ Óź¬Óź½Óź” Óż«Óż┐Óż¤Óż░ÓżĢÓźŗ Óż”ÓźéÓż░ÓźĆ ÓżĖÓż┐ÓżżÓż▓ Óż╣ÓżŠÓżćÓż¤Óż«ÓżŠ Óź¦Óź® Óż½Óż┐Óż¤ÓżĢÓźŗ Óż¼ÓżŠÓż¤ÓźŗÓż«ÓżŠ, Óż¬ÓźüÓż░ÓźŹÓżĄ Óż”ÓżĢÓźŹÓżĘÓż┐ÓżŻ Óż«ÓźŗÓż╣ÓżĪÓżŠ ÓżŁÓżÅÓżĢÓźŗ, Óź”-Óź®-Óź®-Óź¦ ÓżåÓż©ÓżŠ Óż£ÓżŚÓźŹÓżŚÓżŠÓż«ÓżŠ Óż¼Óż©ÓźćÓżĢÓźŗ ÓżģÓżżÓźŹÓż»Óż©ÓźŹÓżżÓźł ÓżåÓżĢÓż░ÓźŹÓżĘÓżĢ Óź® ÓżżÓż▓Óźć Full Furnished Brand New ÓżśÓż░ Óż¼Óż┐ÓżĢÓźŹÓż░ÓźĆÓż«ÓżŠ !!",4,4,1,2,SOUTH-EAST,20 feets
"Rs 52,500,000\-","location: Kathmandu,Naikap",6.2 Anna,"Spacious South-Facing Home in Kalanki, Naikap – Ideal for Comfortable Living and Rental Income",6,3,2,2,SOUTH,13 Feets
"Rs NPR 39,500,000/-","location: Lalitpur,Imadol",4 anna 2 daam,"**🏡 Stunning New Property in Imadole, Sheetal Height - Just Finished in August 2024!**",7,6,2,2,WEST,13 Feets
"Rs NPR 32,500,000/-","location: Lalitpur,Imadol",3 Anna 3 Paisa,Here’s a refined and plagiarism-free description for your property listing:,5,6,2,2,NORTH,13 Feets
"Rs 43,500,000/-","location: Kathmandu, LRI",6 Anna,"**Kalanki House LRI - Elegant 4.5-Story Home for Sale Near Syuchatar, Kathmandu**",10,6,4,3,NORTH,16 Feet
